path,owner,bytes,physical_lines,code_lines,classification,is_rust,embedded_test_lines
crates/arcweft-browser-bench/src/recommend.rs,arcweft-browser-bench,9515,259,251,production,true,0
crates/arcweft-browser-bench/src/runner/add_case.rs,arcweft-browser-bench,23196,525,522,production,true,0
crates/arcweft-browser-bench/src/runner/browser.rs,arcweft-browser-bench,632,20,17,production,true,0
crates/arcweft-browser-bench/src/runner/capture.rs,arcweft-browser-bench,854,26,22,production,true,0
crates/arcweft-browser-bench/src/runner/case.rs,arcweft-browser-bench,5452,171,162,production,true,0
crates/arcweft-browser-bench/src/runner/config.rs,arcweft-browser-bench,316,9,8,production,true,0
crates/arcweft-browser-bench/src/runner/cpu.rs,arcweft-browser-bench,916,27,23,production,true,0
crates/arcweft-browser-bench/src/runner/estimate.rs,arcweft-browser-bench,1174,33,30,production,true,0
crates/arcweft-browser-bench/src/runner/matmul_case.rs,arcweft-browser-bench,33448,781,778,production,true,0
crates/arcweft-browser-bench/src/runner/mode.rs,arcweft-browser-bench,2828,82,75,production,true,0
crates/arcweft-browser-bench/src/runner/pipelined.rs,arcweft-browser-bench,15501,420,412,production,true,0
crates/arcweft-browser-bench/src/runner/wasm.rs,arcweft-browser-bench,4090,107,104,production,true,0
crates/arcweft-browser-bench/src/runner.rs,arcweft-browser-bench,142,12,11,production,true,0
crates/arcweft-browser-bench/src/stability.rs,arcweft-browser-bench,2038,58,57,production,true,0
crates/arcweft-browser-bench/src/stats.rs,arcweft-browser-bench,199,7,7,production,true,0
crates/arcweft-browser-bench/src/tests.rs,arcweft-browser-bench,13824,481,461,test,true,0
crates/arcweft-browser-bench/web/index.html,arcweft-browser-bench,2104,94,85,text,false,0
crates/arcweft-browser-bench/web/run.js,arcweft-browser-bench,5723,221,209,text,false,0
crates/arcweft-bundle/Cargo.toml,arcweft-bundle,1716,57,53,text,false,0
crates/arcweft-bundle/src/character_package.rs,arcweft-bundle,4949,127,115,production,true,0
crates/arcweft-bundle/src/container/identity.rs,arcweft-bundle,1526,47,42,production,true,0
crates/arcweft-bundle/src/container/opaque.rs,arcweft-bundle,1404,56,46,production,true,0
crates/arcweft-bundle/src/container.rs,arcweft-bundle,78577,2398,2174,production,true,662
crates/arcweft-bundle/src/fx_definitions.rs,arcweft-bundle,16442,409,374,production,true,133
