package,manifest,workspace_fan_in,workspace_fan_out,development_workspace_fan_in,development_workspace_fan_out
arcweft-codec-csv,crates/arcweft-codec-csv/Cargo.toml,1,1,0,0
arcweft-codec-json,crates/arcweft-codec-json/Cargo.toml,3,1,1,0
arcweft-codec-msgpack,crates/arcweft-codec-msgpack/Cargo.toml,1,1,1,0
arcweft-codec-toml,crates/arcweft-codec-toml/Cargo.toml,1,1,0,0
arcweft-codec-yaml,crates/arcweft-codec-yaml/Cargo.toml,1,1,0,0
arcweft-compiler,crates/arcweft-compiler/Cargo.toml,3,22,1,4
arcweft-config,crates/arcweft-config/Cargo.toml,0,1,0,0
arcweft-content-policy,crates/arcweft-content-policy/Cargo.toml,3,0,0,0
arcweft-core,crates/arcweft-core/Cargo.toml,28,4,3,6
arcweft-data,crates/arcweft-data/Cargo.toml,17,1,1,0
arcweft-data-derive,crates/arcweft-data-derive/Cargo.toml,1,0,0,0
arcweft-debug-model,crates/arcweft-debug-model/Cargo.toml,5,1,1,0
arcweft-debug-sqlite,crates/arcweft-debug-sqlite/Cargo.toml,1,3,0,0
arcweft-desktop-contract,crates/arcweft-desktop-contract/Cargo.toml,4,0,0,0
arcweft-desktop-host,crates/arcweft-desktop-host/Cargo.toml,2,1,0,0
arcweft-desktop-native,crates/arcweft-desktop-native/Cargo.toml,2,3,1,1
arcweft-dialogue,crates/arcweft-dialogue/Cargo.toml,8,8,8,0
arcweft-glyphon,crates/arcweft-glyphon/Cargo.toml,3,4,0,0
arcweft-host-adapter,crates/arcweft-host-adapter/Cargo.toml,4,2,0,0
arcweft-http-codec,crates/arcweft-http-codec/Cargo.toml,0,1,0,0
arcweft-id,crates/arcweft-id/Cargo.toml,29,0,3,0
arcweft-image,crates/arcweft-image/Cargo.toml,7,0,0,0
arcweft-interaction-model,crates/arcweft-interaction-model/Cargo.toml,10,0,2,0
arcweft-lang-hir,crates/arcweft-lang-hir/Cargo.toml,10,3,1,0
arcweft-lang-jit-cranelift,crates/arcweft-lang-jit-cranelift/Cargo.toml,2,1,0,0
arcweft-lang-sema,crates/arcweft-lang-sema/Cargo.toml,7,12,3,0
arcweft-lang-syntax,crates/arcweft-lang-syntax/Cargo.toml,12,2,1,1
arcweft-launch,crates/arcweft-launch/Cargo.toml,4,5,0,0
arcweft-layout,crates/arcweft-layout/Cargo.toml,11,0,0,0
arcweft-lsp,crates/arcweft-lsp/Cargo.toml,0,23,1,3
arcweft-manifest-model,crates/arcweft-manifest-model/Cargo.toml,11,1,1,0
arcweft-memory,crates/arcweft-memory/Cargo.toml,1,0,0,0
arcweft-need,crates/arcweft-need/Cargo.toml,2,0,0,0
arcweft-player-native,crates/arcweft-player-native/Cargo.toml,1,22,0,5
arcweft-player-scene,crates/arcweft-player-scene/Cargo.toml,3,13,0,4
arcweft-player-text-input,crates/arcweft-player-text-input/Cargo.toml,2,1,0,2
arcweft-player-web,crates/arcweft-player-web/Cargo.toml,0,16,0,5
arcweft-presentation,crates/arcweft-presentation/Cargo.toml,20,3,1,0
arcweft-project,crates/arcweft-project/Cargo.toml,4,5,1,0
arcweft-project-loader,crates/arcweft-project-loader/Cargo.toml,2,15,0,4
arcweft-rag,crates/arcweft-rag/Cargo.toml,2,1,0,0
arcweft-ref,crates/arcweft-ref/Cargo.toml,2,1,0,0
arcweft-render-text,crates/arcweft-render-text/Cargo.toml,11,8,3,2
arcweft-render-web,crates/arcweft-render-web/Cargo.toml,1,1,0,0
arcweft-render-wgpu,crates/arcweft-render-wgpu/Cargo.toml,5,8,0,5
arcweft-resource-manifest,crates/arcweft-resource-manifest/Cargo.toml,2,7,1,0
arcweft-resource-model,crates/arcweft-resource-model/Cargo.toml,12,6,6,0
arcweft-rich-text-schema,crates/arcweft-rich-text-schema/Cargo.toml,3,0,0,0
arcweft-runtime-accelerator,crates/arcweft-runtime-accelerator/Cargo.toml,3,11,0,0
arcweft-runtime-codegen,crates/arcweft-runtime-codegen/Cargo.toml,1,1,0,0
arcweft-runtime-driver,crates/arcweft-runtime-driver/Cargo.toml,6,13,1,4
arcweft-runtime-host,crates/arcweft-runtime-host/Cargo.toml,4,12,0,6
arcweft-runtime-plan,crates/arcweft-runtime-plan/Cargo.toml,5,8,4,1
