"status","path","owning_crate","file_role","current_bytes","current_physical_lines","current_code_lines","embedded_test_lines","parent_physical_lines","physical_line_delta","structural_warnings"
"M","crates/arcweft-lang-sema/src/tests/line_plan.rs","arcweft-lang-sema","unit test","29354","998","944","0","1000","-2",""
"M","crates/arcweft-lang-sema/src/tests/lower_hir.rs","arcweft-lang-sema","unit test","2282","72","68","0","69","3",""
"M","crates/arcweft-lang-sema/src/tests/parser_basics.rs","arcweft-lang-sema","unit test","11298","445","404","0","445","0",""
"M","crates/arcweft-lang-sema/src/tests/typecheck.rs","arcweft-lang-sema","unit test","125373","4120","3902","0","4135","-15","SIZE001"
"M","crates/arcweft-lang-sema/src/types.rs","arcweft-lang-sema","production responsibility module","23625","727","669","0","728","-1",""
"M","crates/arcweft-lang-syntax/src/ast/dialogue.rs","arcweft-lang-syntax","production responsibility module","29506","1071","879","0","1071","0",""
"M","crates/arcweft-lang-syntax/src/ast/items.rs","arcweft-lang-syntax","production responsibility module","49052","2077","1703","0","2079","-2","SIZE001"
"M","crates/arcweft-lang-syntax/src/ast/view.rs","arcweft-lang-syntax","production responsibility module","46943","1739","1551","0","1633","106","SIZE001"
"M","crates/arcweft-lang-syntax/src/cst/classify.rs","arcweft-lang-syntax","production responsibility module","16885","507","454","0","508","-1",""
"M","crates/arcweft-lang-syntax/src/parser/dialogue.rs","arcweft-lang-syntax","production responsibility module","32213","817","782","0","809","8",""
"M","crates/arcweft-lang-syntax/src/parser/flow.rs","arcweft-lang-syntax","production responsibility module","32767","802","759","0","814","-12",""
"M","crates/arcweft-lang-syntax/src/parser/headers.rs","arcweft-lang-syntax","production responsibility module","35709","1067","1005","0","966","101",""
"M","crates/arcweft-lang-syntax/src/parser/helpers.rs","arcweft-lang-syntax","production responsibility module","33217","988","902","75","995","-7",""
"M","crates/arcweft-lang-syntax/src/parser/top_level.rs","arcweft-lang-syntax","production responsibility module","33173","877","840","0","896","-19",""
"M","crates/arcweft-lang-syntax/src/parser/view.rs","arcweft-lang-syntax","production responsibility module","52115","1545","1470","0","1521","24","SIZE001"
"M","crates/arcweft-lang-syntax/src/types.rs","arcweft-lang-syntax","production responsibility module","31635","989","872","0","1046","-57",""
"M","crates/arcweft-lang-syntax/tests/parser_callbacks_and_closures.rs","arcweft-lang-syntax","integration test","9708","325","302","0","325","0",""
"M","crates/arcweft-lang-syntax/tests/parser_declarations_recovery_comments.rs","arcweft-lang-syntax","integration test","13310","462","421","0","358","104",""
"M","crates/arcweft-lang-syntax/tests/parser_dialogue_syntax_and_defaults.rs","arcweft-lang-syntax","integration test","16666","568","538","0","571","-3",""
"M","crates/arcweft-lang-syntax/tests/parser_function_signatures_and_types.rs","arcweft-lang-syntax","integration test","9440","272","248","0","284","-12",""
"M","crates/arcweft-lang-syntax/tests/style_view.rs","arcweft-lang-syntax","integration test","20550","783","717","0","753","30",""
"M","crates/arcweft-launch/src/lib.rs","arcweft-launch","production facade","29667","987","791","230","990","-3",""
"M","crates/arcweft-lsp/src/diagnostics.rs","arcweft-lsp","production responsibility module","25746","718","654","356","718","0",""
"M","crates/arcweft-lsp/src/features.rs","arcweft-lsp","production responsibility module","306","14","12","0","13","1",""
"M","crates/arcweft-lsp/src/features/actions.rs","arcweft-lsp","production responsibility module","48544","1489","1381","260","1663","-174","SIZE001;TEST001"
"M","crates/arcweft-lsp/src/features/completion.rs","arcweft-lsp","production responsibility module","8702","236","225","0","190","46",""
"A","crates/arcweft-lsp/src/features/dialogue_view_metadata.rs","arcweft-lsp","production responsibility module","2290","69","62","0","0","69",""
"M","crates/arcweft-lsp/src/features/hover.rs","arcweft-lsp","production responsibility module","32324","948","884","384","908","40",""
"M","crates/arcweft-lsp/src/profiles.rs","arcweft-lsp","production responsibility module","35679","1045","908","296","1048","-3",""
"M","crates/arcweft-lsp/src/session.rs","arcweft-lsp","production responsibility module","20853","499","464","0","497","2",""
"M","crates/arcweft-lsp/src/session/tests.rs","arcweft-lsp","test module","77108","2282","2090","0","2269","13",""
"M","crates/arcweft-lsp/tests/character_completions.rs","arcweft-lsp","integration test","4296","137","123","0","137","0",""
"M","crates/arcweft-player-native/src/dev_capture.rs","arcweft-player-native","production responsibility module","12545","363","333","125","363","0",""
"M","crates/arcweft-player-native/src/lib.rs","arcweft-player-native","production facade","13838","370","343","184","370","0",""
"M","crates/arcweft-player-native/src/patch_endpoint.rs","arcweft-player-native","production responsibility module","39101","1017","902","520","1017","0",""
"M","crates/arcweft-player-native/src/scene_windowed.rs","arcweft-player-native","production responsibility module","63474","1722","1622","54","1731","-9","SIZE001;TEST001"
"M","crates/arcweft-player-native/src/windowed_runtime.rs","arcweft-player-native","production responsibility module","37961","977","860","306","977","0",""
"M","crates/arcweft-player-native/tests/support/windowed_live_patch_fixtures.rs","arcweft-player-native","integration test","50599","1398","1308","0","1398","0",""
"M","crates/arcweft-player-native/tests/windowed_ingress_runtime.rs","arcweft-player-native","integration test","8464","232","219","0","232","0",""
"M","crates/arcweft-player-scene/src/action_buttons.rs","arcweft-player-scene","production responsibility module","5374","144","134","0","128","16",""
"M","crates/arcweft-player-scene/src/dialogue.rs","arcweft-player-scene","production responsibility module","5603","179","154","49","178","1",""
"M","crates/arcweft-player-scene/src/frame.rs","arcweft-player-scene","production responsibility module","17606","495","450","0","481","14",""
"M","crates/arcweft-player-scene/src/frame/surfaces.rs","arcweft-player-scene","production responsibility module","25610","732","697","204","730","2",""
"D","crates/arcweft-player-scene/src/frame/textboxes.rs","arcweft-player-scene","deleted","0","0","0","0","531","-531",""
"M","crates/arcweft-player-scene/src/frame/view_text.rs","arcweft-player-scene","production responsibility module","28036","801","764","0","373","428",""
"M","crates/arcweft-player-scene/src/input.rs","arcweft-player-scene","production responsibility module","34342","1041","962","0","1002","39",""
"M","crates/arcweft-player-scene/src/input/keyboard.rs","arcweft-player-scene","production responsibility module","7896","210","199","0","207","3",""
"M","crates/arcweft-player-scene/src/input/pointer.rs","arcweft-player-scene","production responsibility module","15947","412","403","0","409","3",""
"M","crates/arcweft-player-scene/src/input/tests.rs","arcweft-player-scene","test module","36175","1070","975","0","1063","7",""
